"COMPbase","2013-03-25232841","pauligiraldo"
"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole; alpha-Ribazole 5'-phosphate","cpd:C04778","ko00860;ko01100"
"rRNA containing a single residue of 2'-O-methyladenosine","cpd:C04779",""
"8-[(1R,2R)-3-Oxo-2-{(Z)-pent-2-enyl}cyclopentyl]octanoate; OPC-8:0","cpd:C04780","ko00592;map01070;ko01100"
"cis-4,5-Dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate; Phthalate-4,5-cis-dihydrodiol","cpd:C04783","ko00624;ko01100;ko01120"
"13(S)-HPOT; (9Z,11E,15Z)-(13S)-Hydroperoxyoctadeca-9,11,15-trienoate; (9Z,11E,15Z)-(13S)-13-Hydroperoxyoctadeca-9,11,15-trienoic acid; 13(S)-HpOTrE; 13-HPOT","cpd:C04785","ko00592;ko01100"
"Cyanidin 3-rutinoside-5-glucoside","cpd:C04787",""
"Lysosomal-enzyme N-acetyl-D-glucosaminyl-phospho-D-mannose","cpd:C04789",""
"N-Acetyl-beta-D-mannosaminouronosyl-1,4-lipopolysaccharide","cpd:C04790",""
"beta-D-Galactosyl-1,4-N-acetyl-D-glucosaminyl-glycoprotein","cpd:C04791",""
"1-Acyl-2-[(S)-12-hydroxyoleoyl]-sn-glycero-3-phosphocholine","cpd:C04792",""
"3,4-Dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione","cpd:C04793","ko00984;ko01100;ko01120;ko01220"
"3-(4-Deoxy-beta-D-gluc-4-enuronosyl)-N-acetyl-D-glucosamine; 3-(4-Deoxy-alpha-L-threo-hex-4-enopyranosyluronic acid)-2-acetamido-2-deoxy-D-glucose","cpd:C04794",""
"4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde","cpd:C04796","ko00350"
"5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde","cpd:C04797","ko00350"
"5-Amino-4-chloro-2-(2,3-dihydroxyphenyl)-3(2H)-pyridazinone; Chloridazon catechol; 5-Amino-4-chloro-2-(2',3'-dihydroxyphenyl)-3(2H)-pyridazinone","cpd:C04798",""
"Colominic acid(non-reducing N- or O-acylneuraminyl residue); Colominate","cpd:C04799",""
"D-Glucuronyl-N-acetyl-1,3-beta-D-galactosaminylproteoglycan","cpd:C04800",""
"[3-Methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)]; Holo-[3-methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)]; Biotin-[3-methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)]; Holo-[methylcrotonoyl-CoA-carboxylase]; Biotin-[methylcrotonoyl-CoA-carboxylase]","cpd:C04801",""
"m7G(5')pppRm-RNA (mRNA containing a 2'-O-methylpurine cap)","cpd:C04802",""
"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimeloyl-D-alanine; UDP-N-acetylmuramoyl-L-Ala-D-gamma-Glu-6-carboxy-L-Lys-D-Ala; UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-6-carboxy-L-lysyl-D-alanine","cpd:C04804",""
"5(S)-HETE; 5-Hydroxyeicosatetraenoate; 5-HETE; (6E,8Z,11Z,14Z)-(5S)-5-Hydroxyicosa-6,8,11,14-tetraenoic acid","cpd:C04805","ko00590"
"17alpha-(N-Acetyl-D-glucosaminyl)-estradiol 3-D-glucuronoside","cpd:C04806",""
"2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine; 2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate; 7,8-Dihydropterin pyrophosphate","cpd:C04807","ko00790;ko01100"
"D-Abequosyl-D-mannosyl-rhamnosyl-D-galactose-1-diphospholipid","cpd:C04808",""
"Membrane-derived-oligosaccharide 6-(glycerophospho)-D-glucose","cpd:C04809",""
"Oligosaccharide with 4-deoxy-alpha-D-gluc-4-enuronosyl group; Oligosaccharide with 4-deoxy-alpha-D-galact-4-enuronosyl group","cpd:C04810",""
"1-(5-Phosphoribosyl)-4-(N-succinocarboxamide)-5-aminoimidazole","cpd:C04811",""
"1D-1-Guanidino-3-amino-1,3-dideoxy-scyllo-inositol 4-phosphate","cpd:C04812",""
"4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol","cpd:C04814",""
"5-D-(5/6)-5-C-(Hydroxymethyl)-2,6-dihydroxycyclohex-2-en-1-one; 5D-(5/6)-5-C-(Hydroxymethyl)-2,6-dihydroxy-2-cyclohexen-1-one","cpd:C04815",""
"Dephospho-[[hydroxymethylglutaryl-CoA reductase (NADPH)]kinase]","cpd:C04816",""
"Protein alpha-D-glucosyl-1,2-beta-D-galactosyl-L-hydroxylysine","cpd:C04817",""
"beta-D-Galactosyl-1,4-N-acetyl-beta-D-glucosaminylglycopeptide","cpd:C04818",""
"beta-D-Galactosyl-beta-1,4-N-acetyl-D-glucosaminylglycopeptide","cpd:C04819",""
"8(R)-HPETE; (5Z,9E,11Z,14Z)-(8R)-8-Hydroperoxyeicosa-5,9,11,14-tetraenoate; (5Z,9E,11Z,14Z)-(8R)-8-Hydroperoxyicosa-5,9,11,14-tetraenoate","cpd:C04822","ko00590;ko04726"
"1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole; 1-(5'-Phosphoribosyl)-4-(N-succinocarboxamide)-5-aminoimidazole; 5'-Phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole; (S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate; SAICAR","cpd:C04823","ko00230;ko01100;ko01110"
"Lipid X; 2,3-Diacylglucosamine 1-phosphate; 2,3-Bis[(3R)-3-hydroxymyristoyl]-alpha-D-glucosaminyl 1-phosphate; 2,3-Bis(3-hydroxytetradecanoyl)-alpha-D-glucosaminyl 1-phosphate","cpd:C04824","ko00540;ko01100"
"3-beta-D-Galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein","cpd:C04825",""
"Apo-[3-methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)]; Apo-[methylcrotonoyl-CoA-carboxylase]","cpd:C04827",""
"Deacetyl-[citrate-oxaloacetate-lyase((pro-3S)-CH2COO-->acetate)]","cpd:C04829",""
"beta-D-Glucosyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol","cpd:C04830",""
"DIMBOA-glucoside; 2,4-Dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucoside; 2,4-Dihydroxy-7-methoxy-1,4-benzoxazin-3-one glucoside","cpd:C04831","ko00402"
"Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide; Coenzyme M-HTP heterodisulfide; CoM-S-S-CoB; N-{7-[(2-Sulfoethyl)dithio]heptanoyl}-3-O-phospho-L-threonine","cpd:C04832","ko00680;ko01100;ko01120"
"m7G(5')pppm6Am (mRNA containing an N6,2'-O-dimethyladenosine cap)","cpd:C04833",""
"Juvenile hormone II acid; (2E,6E)-(10R,11S)-10,11-Epoxy-3,7,11-trimethyltrideca-2,6-dienoic acid; (2E,6E)-(10R,11S)-10,11-Epoxy-3,7,11-trimethyltrideca-2,6-dienoate; (2E,6E)-10,11-Epoxy-3,7,11-trimethyltridecadienoic acid","cpd:C04834",""
"(5Z,13E)-6,9alpha-Epoxy-11alpha-hydroxy-15-oxoprosta-5,13-dienoate","cpd:C04835",""
"3-O-(3,6-Anhydro-alpha-D-galactopyranosyl)-D-galactose 4-O-sulfate","cpd:C04839",""
"3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate","cpd:C04840",""
"(5Z,9E,14Z)-(8xi,11xi,12S)-8,11,12-Trihydroxyicosa-5,9,14-trienoate; (5Z,9E,14Z)-(8xi,11xi,12S)-8,11,12-Trihydroxyicosa-5,9,14-trienoic acid; Trioxilin A3","cpd:C04843",""
"3-Hydroxy-5,9,17-trioxo-4,5:9,10-disecoandrosta-1(10),2-dien-4-oate; (1E,2Z)-3-Hydroxy-5,9,17-trioxo-4,5:9,10-disecoandrosta-1(10),2-dien-4-oate; DSHA","cpd:C04844","ko00984;ko01100;ko01120;ko01220"
"N-Acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide; Lactotriaosylceramide; Lactotriosylceramide; N-Acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide; Ceramidetrisaccharide; Ceramidetrihexoside; N-Acetyl-D-glucosaminyl-1,3-beta-D-galactocyl-1,4-beta-glucosyl-1,1'-beta-ceramide; GlcNAc-beta1->3Gal-beta1->4Glc-beta1->1'Cer; GlcNAc-beta1->3LacCer; N-Acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide","cpd:C04845",""
"alpha-D-Galactosyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosamine","cpd:C04847",""
"Variant-surface-glycoprotein 1,2-dimyristyl-sn-phosphatidylinositol; Variant-surface-glycoprotein 1,2-ditetradecanoyl-sn-phosphatidylinositol","cpd:C04848",""
"(5Z,9E,14Z)-(8xi,11R,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoic acid; (5Z,9E,14Z)-(8xi,11R,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoate; Hepoxilin A3","cpd:C04849",""
"1,3-beta-D-Galactosyl-(alpha-1,4-L-fucosyl)-N-acetyl-D-glucosaminyl-R","cpd:C04850",""
"MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol; Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine","cpd:C04851","ko00550;ko01100"
"20-OH-Leukotriene B4; 20-OH-LTB4; 20-Hydroxy-leukotriene B4; (6Z,8E,10E,14Z)-(5S,12R)-5,12,20-Trihydroxyeicosa-6,8,10,14-tetraenoate; (6Z,8E,10E,14Z)-(5S,12R)-5,12,20-Trihydroxyicosa-6,8,10,14-tetraenoate","cpd:C04853","ko00590"
"alpha-D-Galactosyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminyl-R; alpha-D-Galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-N-acetylglucosaminyl-R","cpd:C04855",""
"(6S)-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide; 6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide","cpd:C04856",""
"Apigenin 7-O-[beta-D-apiosyl-(1->2)-beta-D-glucoside]; 7-O-(beta-D-Apiofuranosyl-1,2-beta-D-glucosyl)-5,7,4'-trihydroxyflavone; Apiin; 7-[(2-O-D-Apio-beta-D-furanosyl-beta-D-glucopyranosyl)oxy]-5-hydroxy-2-(4-hydroxy-phenyl)-4H-1-benzopyran-4-one; Apioside","cpd:C04858","ko00944"
"(20S,22S,25S)-22,25-Epoxyfurost-5-ene-3beta,26-diol 3-O-beta-D-glucoside","cpd:C04859",""
"1,3-alpha-D-Mannosyl-1,2-alpha-D-mannosyl-1,2-alpha-D-mannosyl-D-mannose","cpd:C04861",""
"1-Hexadecylthio-1-deoxy-2-hexadecylphosphono-sn-glycero-3-phosphocholine","cpd:C04862",""
"4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate","cpd:C04864",""
"4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 6-sulfate","cpd:C04865",""
"alpha-D-Galactosyl-(1,3)-[alpha-L-fucosyl-(1,2)]-D-galactoside; Glycoprotein alpha-D-galactosyl-(1,3)-[alpha-L-fucosyl-(1,2)]-D-galactose; alpha-D-Galactosyl-(1->3)-[alpha-L-fucosyl(1->2)]-D-galactosyl-R","cpd:C04866",""
"Juvenile hormone II; Methyl (2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyltrideca-2,6-dienoate","cpd:C04867",""
"Haloxyfop; (RS)-2-[4-(3-Chloro-5-trifluoromethyl-2-pyridyloxy)phenoxy]propionic acid","cpd:C04871",""
"1,2-Diacyl-3-[3-(alpha-D-N-acetylneuraminyl)-beta-D-galactosyl]-sn-glycerol","cpd:C04872","ko00561"
"1-Hexadecylthio-2-hexadecanoylamino-1,2-dideoxy-sn-glycero-3-phosphocholine","cpd:C04873",""
"2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine; Dihydroneopterin; 7,8-Dihydroneopterin","cpd:C04874","ko00790;ko01100"
"(+/-)-5-[(tert-Butylamino)-2'-hydroxypropoxy]-1,2,3,4-tetrahydro-1-naphthol; (+/-)-Dihydrobunolol","cpd:C04875",""
"N-Acetyl-D-glucosaminyl-N-acetylmuramoyl-L-Ala-D-glutamyl-6-carboxy-L-lysine","cpd:C04876",""
"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate; UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diamino-heptanedioate","cpd:C04877","ko00300;ko00550"
"N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(R1)-beta-D-mannosyl-R2; 3-(2-[N-Acetyl-beta-D-glucosaminyl]-alpha-D-mannosyl)-beta-D-mannosyl-R","cpd:C04880",""
"N-Acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol","cpd:C04881",""
"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine; UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine; UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine","cpd:C04882","ko00300;ko00550"
"(+/-)-5-[(tert-Butylamino)-2'-hydroxypropoxy]-3,4-dihydro-1(2H)-naphthalenone; (+/-)-Bunolol","cpd:C04883",""
"N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide; GM2; Tay-Sachs ganglioside; N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-1,4-beta-D-glucosyl-N-acylsphingosine; GalNAc-beta1->4(Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer","cpd:C04884",""
"alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,3-N-acetyl-D-galactosaminyl-R; N-Acetyl-alpha-neuraminyl-(2->3)-beta-D-galactosyl-(1->3)-N-acetyl-D-galactosaminyl-R","cpd:C04885",""
"alpha-N-Acetylneuraminyl-2,6-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosamine","cpd:C04886",""
"alpha-N-Acetylneuraminyl-2,8-alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-R","cpd:C04887",""
"N-Acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminyl-R; N-Acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-N-acetyl-D-glucosaminyl-R","cpd:C04890",""
"N-Acetyl-beta-D-glucosaminyl-1,6-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminyl-R; N-Acetyl-beta-D-glucosaminyl-(1->6)-beta-D-galactosyl-(1->4)-N-acetyl-D-glucosaminyl-R","cpd:C04891",""
"UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-N6-(L-alanyl)-L-lysyl-D-alanyl-D-alanine; UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-N6-(L-alanyl)-L-lysyl-D-alanyl-D-alanine","cpd:C04894",""
"7,8-Dihydroneopterin 3'-triphosphate; 2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate; 6-(L-erythro-1,2-Dihydroxypropyl 3-triphosphate)-7,8-dihydropterin; 6-[(1S,2R)-1,2-Dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin","cpd:C04895","ko00790;ko01100"
"5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide; N-(5'-Phospho-D-ribosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide; N-(5'-Phosphoribosylformimino)-5-amino-1-(5''-phosphoribosyl)-4-imidazolecarboxamide; Phosphoribosyl-formimino-AICAR-phosphate; 1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide","cpd:C04896","ko00340;ko01100;ko01110"
"Oligosaccharide with terminal 4-deoxy-6-methyl-alpha-D-galact-4-enuronosyl group","cpd:C04898",""
"(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide 2'-phosphate","cpd:C04899",""
"Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide","cpd:C04900","ko00944"
"alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,3-N-acetyl-alpha-D-galactosaminyl-R","cpd:C04901",""
"beta-D-Galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R","cpd:C04902",""
"3-beta-D-Glucuronosyl-3-beta-D-galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein; beta-D-Glucuronyl-1,3-D-galactosylproteoglycan","cpd:C04903",""
"N-Acetyl-D-glucosaminyl-N-acetylmuramoyl-L-Ala-D-glutamyl-6-carboxy-L-lysyl-D-alanine","cpd:C04904",""
"1-(4-Amino-2-methylpyrimid-5-ylmethyl)-3-(beta-hydroxyethyl)-2-methylpyridinium bromide; Pyrithiamine","cpd:C04905",""
"N-Acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,2)-alpha-D-mannosyl-R; 2,6-Bis(N-acetyl-beta-D-glucosaminyl)-alpha-D-mannosyl-R","cpd:C04906",""
"alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminyl-glycoprotein","cpd:C04907",""
"1-(4-Hydroxy-2-methylpyrimid-5-ylmethyl)-3-(beta-hydroxyethyl)-2-methylpyridinium bromide; Oxypyrithiamine","cpd:C04908",""
"alpha-D-Glucosyl-1,6-alpha-D-glucosyl-1,6-alpha-D-glucosyl-1,3-1-O-alkyl-2-O-acylglycerol","cpd:C04909",""
"1,3-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide; Ceramidetetrasaccharide; Ceramidetetrahexoside; Paragloboside; Lc4Cer","cpd:C04910",""
"D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide; GM1; GM1a; D-Galactosyl-1,3-beta-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosyl-N-acylsphingosine; Gal-beta1->3GalNAc-beta1->4(Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer","cpd:C04911","ko05110"
"N-Acetyl-beta-D-galactosaminyl-1,4-beta-D-glucuronyl-N-acetyl-1,3-beta-D-galactosaminylproteoglycan","cpd:C04913",""
"alpha-D-Mannosyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3)-beta-D-mannosyl-R","cpd:C04914",""
"N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide; 5-[(5-Phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide; Phosphoribulosyl-formimino-AICAR-phosphate","cpd:C04916","ko00340;ko01100;ko01110"
"N-Acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,3)-N-acetyl-D-galactosaminyl-R","cpd:C04917",""
"2,3,2'3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate; 2,3,2'3'-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate; Lipid A disaccharide bisphosphate; Lipid IV(A); 2-Deoxy-2-{[(3R)-3-hydroxytetradecanoyl]amino}-3-O-[(3R)-3-hydroxytetradecanoyl]-4-O-phospho-beta-D-glucopyranosyl-(1->6)-2-deoxy-3-O-[(3R)-3-hydroxytetradecanoyl]-2-{[(3R)-3-hydroxytetradecanoyl]amino}-1-O-phospho-alpha-D-glucopyranose","cpd:C04919","ko00540;ko01100"
"6-Sulfo-alpha-D-glucosyl-1,6-alpha-D-glucosyl-1,6-alpha-D-glucosyl-1,3-1-O-alkyl-2-O-acylglycerol","cpd:C04920",""
"beta-D-Galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide; beta-D-Galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide; D-Galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide","cpd:C04922",""
"1,3-alpha-D-Mannosyl-(1,2-N-acetyl-alpha-D-glucosaminyl)-1,2-alpha-D-mannosyl-1,2-alpha-D-mannosyl-D-mannose","cpd:C04923",""
"N-Acetyl-D-galactosaminyl-1,4-beta-N-acetylneuraminyl-2,3-alpha-D-galactosyl-1,4-beta-D-glucosylceramide; GalNAc-beta1->4Neu5Ac-alpha2->3Gal-beta1->4Glc-beta1->1'Cer","cpd:C04924",""
"N-Acetyl-D-galactosaminyl-N-Acetyl-D-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide; Forssman hapten; GalNAc-alpha1->3GalNAc-beta1->3Gal-alpha1->4Gal-beta1->4Glc-beta1->1'Cer; GalNAc-alpha1->3GalNAc-beta1->3Gal-alpha1->4LacCer","cpd:C04925",""
"alpha-N-Acetylneuraminyl-2,3-beta-D-galactose-1,3-(alpha-N-acetylneuraminyl-2,6)-N-acetyl-D-galactosaminyl-R; N-Acetyl-alpha-neuraminyl-(2->3)-beta-D-galactosyl-(1->3)-[N-acetyl-alpha-neuraminyl-(2->6)]-N-acetyl-D-galactosaminyl-R","cpd:C04926",""
"N-Acetylneuraminyl-D-galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide; GD1a; NeuAc-alpha2->3Gal-beta1->3GalNAc-beta1->4(NeuAc-alpha2->3)LacCer; NeuAc-alpha2->3Gal-beta1->3GalNAc-beta1->4(NeuAc-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer","cpd:C04927",""
"N-Acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R","cpd:C04930",""
"Argatroban; (2R,4R)-4-Methyl-1[Nalpha-[(3-methyl-1,2,3,4-tetrahydro-8-quinolinyl)sulfonyl]-L-arginyl]-2-piperadinecarboxylic acid","cpd:C04931",""
"Lipid A disaccharide; Tetraacyldisaccharide 1-phosphate; [2-N,3-O-bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl]-(1->6)-[2-N,3-O-bis(3-hydroxytetradecanoyl)-alpha-D-glucosaminyl phosphate]; 2,3-Bis[(3R)-3-hydroxytetradecanoyl]-beta-D-glucosaminyl-(1->6)-2,3-bis[(3R)-3-hydroxytetradecanoyl]-alpha-D-glucosaminyl 1-phosphate","cpd:C04932","ko00540;ko01100"
"N-Acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,2)-(N-acetyl-beta-D-glucosaminyl-1,4)-alpha-D-mannosyl-R; 2,4,6-Tris(N-acetyl-beta-D-glucosaminyl)-alpha-D-mannosyl-R","cpd:C04934",""
"alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide; Neu5Ac-alpha2->3Gal-beta1->4GlcNAc-beta1->3Gal-beta1->4Glc-beta1->1'Cer","cpd:C04936",""
"N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3)-beta-D-mannosyl-R","cpd:C04937",""
"N-Acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide","cpd:C04938",""
"N-Acetyl-D-glucosaminyl-1,6-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide","cpd:C04939",""
"(N-Acetyl-beta-D-glucosaminyl-1,2)-alpha-D-mannosyl-1,3-(beta-N-acetyl-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-beta-D-mannosyl-R","cpd:C04940",""
"beta-D-Mannosyl-R","cpd:C04942",""
"N-Acetyl-beta-D-glucosaminyl-1,4-(N-acetyl-beta-D-glucosaminyl-1,2)-alpha-D-mannosyl-1,3-beta-D-mannosyl-R; 3-(2,4-Bis[N-acetyl-beta-D-glucosaminyl]-alpha-D-mannosyl)-beta-D-mannosyl-R","cpd:C04943",""
"6-(2-[N-Acetyl-beta-D-glucosaminyl]-alpha-D-mannosyl)-beta-D-mannosyl-R","cpd:C04944",""
"Fructose 1-phosphate(pyranose)","cpd:C05001",""
"Fructose(pyranose)","cpd:C05003",""
"Glycolipid","cpd:C05005","ko05133"
"Heme-thiolate(P-450)","cpd:C05009",""
"Histidylleucine; N-L-Histidyl-L-leucin; His-Leu","cpd:C05010",""
"Hydroxytamoxifen; 4-Hydroxytamoxifen","cpd:C05011","ko00982"
"L-Glutamate methylester","cpd:C05016",""
"N-Acetyl-beta-D-galactosamine","cpd:C05021",""
"N3-Metyladenine","cpd:C05026",""
"Norethindrone; 19-Norethisterone; 19-Nor-17alpha-ethynyl-17beta-hydroxy-4-androsten-3-one","cpd:C05028",""
"O6-Methyl-2'-deoxyguanosine","cpd:C05031",""
"Glufosinate; Phosphinothricin; 2-Amino-4-(hydroxymethylphosphinyl)butanoic acid","cpd:C05042","ko00440;ko01110"
"Ribulose","cpd:C05052",""
"cis-3-Enoyl-CoA","cpd:C05057",""
"m-Aminophenol; 3-Aminophenol; 3-Hydroxyaniline","cpd:C05058",""
"o-Benzosemiquinone; 2-Hydroxyphenoxy radical","cpd:C05060",""
"trans-3-Enoyl-CoA","cpd:C05067",""
"Chlorsulfuron","cpd:C05071",""
"Coumermycin A1; Coumermycin","cpd:C05073","ko00401;ko01110"
"Imazaquin","cpd:C05076",""
"Nalidixic acid","cpd:C05079",""
"Novobiocin","cpd:C05080","ko00401;ko01110"
"Cyclosporin A; Ciclosporin; Cyclosporine","cpd:C05086",""
"3-Ureidoisobutyrate","cpd:C05100","ko00240;ko01100"
"alpha-Hydroxy fatty acid","cpd:C05102","ko00071"
"4alpha-Methylzymosterol","cpd:C05103","ko00100;ko01100"
"delta7,24-Cholestadien-3beta-ol","cpd:C05104",""
"7-Dehydrodesmosterol; Cholesta-5,7,24-triene-3beta-ol","cpd:C05107","ko00100;ko01100"
